# Work-stealing OFF vs ON — ClickBench 43-query A/B

Node: archive, ~99,997,497 docs. Multi-partition (mode=auto, min_target_partitions>=4). Same build; only the dynamic `datafusion.indexed.work_stealing` setting differs between arms.

Per query: 1 cold (cache cleared) + 2 warm; perf = best of 2 warm. Correctness = byte-equal result rows OFF vs ON.


## Correctness (OFF vs ON must match)

| Query | rows(off) | rows(on) | match | note |
|---|---|---|---|---|
| q1 | 1 | 1 | ✅ |  |
| q2 | 1 | 1 | ✅ |  |
| q3 | 1 | 1 | ✅ |  |
| q4 | 1 | 1 | ✅ |  |
| q5 | 1 | 1 | ✅ |  |
| q6 | 1 | 1 | ✅ |  |
| q7 | 1 | 1 | ✅ |  |
| q8 | 18 | 18 | ✅ |  |
| q9 | 10 | 10 | ✅ |  |
| q10 | 10 | 10 | ✅ |  |
| q11 | 10 | 10 | ✅ |  |
| q12 | 10 | 10 | ✅ |  |
| q13 | 10 | 10 | ✅ |  |
| q14 | ERR | ERR | ⚠️ | off:HTTP 500: {
  "error": {
    "reason": " on:HTTP 500: {
  "error": {
    "reason": " |
| q15 | 10 | 10 | ✅ |  |
| q16 | 10 | 10 | ✅ |  |
| q17 | 10 | 10 | ✅ |  |
| q18 | 10 | 10 | ❌ |  |
| q19 | 10 | 10 | ✅ |  |
| q20 | 4 | 4 | ✅ |  |
| q21 | 1 | 1 | ✅ |  |
| q22 | 10 | 10 | ✅ |  |
| q23 | 10 | 10 | ✅ |  |
| q24 | 10 | 10 | ✅ |  |
| q25 | 10 | 10 | ❌ |  |
| q26 | 10 | 10 | ✅ |  |
| q27 | 10 | 10 | ✅ |  |
| q28 | 25 | 25 | ✅ |  |
| q29 | 25 | 25 | ✅ |  |
| q30 | 1 | 1 | ✅ |  |
| q31 | 10 | 10 | ✅ |  |
| q32 | 10 | 10 | ❌ |  |
| q33 | 10 | 10 | ❌ |  |
| q34 | 10 | 10 | ✅ |  |
| q35 | 10 | 10 | ✅ |  |
| q36 | 10 | 10 | ✅ |  |
| q37 | 10 | 10 | ✅ |  |
| q38 | 10 | 10 | ✅ |  |
| q39 | 10 | 10 | ✅ |  |
| q40 | 10 | 10 | ❌ |  |
| q41 | 10 | 10 | ✅ |  |
| q42 | 10 | 10 | ✅ |  |
| q43 | 0 | 0 | ✅ |  |

**Non-approx mismatches/errors: 6**  (must be 0 — work-stealing must never change results)


## Performance (best-of-2-warm, seconds)

| Query | off warm | on warm | Δ (on-off) | on/off | off cold | on cold |
|---|---|---|---|---|---|---|
| q1 | 0.015 | 0.008 | -0.007 | 0.53x | 0.271 | 0.012 |
| q2 | 0.059 | 0.044 | -0.015 | 0.75x | 0.087 | 0.058 |
| q3 | 0.332 | 0.351 | +0.019 | 1.06x | 0.401 | 0.289 |
| q4 | 0.236 | 0.245 | +0.009 | 1.04x | 0.341 | 0.270 |
| q5 | 0.368 | 0.333 | -0.035 | 0.91x | 0.391 | 0.383 |
| q6 | 4.049 | 3.121 | -0.927 | 0.77x | 4.326 | 3.583 |
| q7 | 0.027 | 0.013 | -0.014 | 0.50x | 0.091 | 0.014 |
| q8 | 0.053 | 0.056 | +0.003 | 1.06x | 0.083 | 0.072 |
| q9 | 1.380 | 1.423 | +0.043 | 1.03x | 1.660 | 1.611 |
| q10 | 2.205 | 2.003 | -0.202 | 0.91x | 2.465 | 1.960 |
| q11 | 0.803 | 0.745 | -0.058 | 0.93x | 1.631 | 0.734 |
| q12 | 0.848 | 0.849 | +0.001 | 1.00x | 0.931 | 0.801 |
| q13 | 1.401 | 1.265 | -0.136 | 0.90x | 2.062 | 1.633 |
| q14 | None | None | - | - | 123.852 | 110.9921 |
| q15 | 1.242 | 1.268 | +0.026 | 1.02x | 1.393 | 1.518 |
| q16 | 1.369 | 1.363 | -0.006 | 1.00x | 1.334 | 1.198 |
| q17 | 2.685 | 2.484 | -0.201 | 0.92x | 3.541 | 2.530 |
| q18 | 2.515 | 2.477 | -0.038 | 0.98x | 2.695 | 2.472 |
| q19 | 6.764 | 6.991 | +0.227 | 1.03x | 7.501 | 7.103 |
| q20 | 0.111 | 0.119 | +0.008 | 1.07x | 0.239 | 0.149 |
| q21 | 2.619 | 2.557 | -0.062 | 0.98x | 2.740 | 2.710 |
| q22 | 2.777 | 2.248 | -0.528 | 0.81x | 2.725 | 2.310 |
| q23 | 4.817 | 4.569 | -0.248 | 0.95x | 5.213 | 5.157 |
| q24 | 19.029 | 18.732 | -0.297 | 0.98x | 20.020 | 19.188 |
| q25 | 0.361 | 0.323 | -0.038 | 0.90x | 0.438 | 0.470 |
| q26 | 0.693 | 0.650 | -0.043 | 0.94x | 0.696 | 0.680 |
| q27 | 0.395 | 0.291 | -0.104 | 0.74x | 0.403 | 0.304 |
| q28 | 3.062 | 2.750 | -0.312 | 0.90x | 3.424 | 3.152 |
| q29 | 22.960 | 22.940 | -0.020 | 1.00x | 23.899 | 24.106 |
